brand,model,vehicle_age,year,mileage,fuel_type,transmission,owner_count,price,region,listing_date,days_to_sale,mileage_per_year,is_luxury,listing_month,listing_year,listing_season,listing_date_str
Maruti Suzuki,Baleno,5,2019,22000.0,Petrol,Manual,2,625000.0,Metro,2026-03-30 19:48:59.565205,56,4400.0,0,3,2026,Spring,2026-03-30
Maruti Suzuki,Swift Dzire,5,2019,54000.0,Petrol,Manual,2,600000.0,North,2025-11-15 05:50:50.565205,29,10800.0,0,11,2025,Fall,2025-11-15
Maruti Suzuki,Wagon R,2,2022,10000.0,Petrol,Manual,1,445000.0,South,2026-04-21 11:10:39.565205,23,5000.0,0,4,2026,Spring,2026-04-21
Maruti Suzuki,Ignis,2,2022,20000.0,Petrol,Manual,1,530000.0,East,2026-08-01 21:37:55.565205,69,10000.0,0,8,2026,Summer,2026-08-01
Maruti Suzuki,Wagon R,3,2021,53237.0,CNG,Manual,1,410000.0,West,2026-08-14 03:39:28.565205,23,17745.666666666668,0,8,2026,Summer,2026-08-14
Datsun,RediGO,3,2021,27263.0,Petrol,Manual,1,350000.0,Central,2026-08-04 15:24:44.565205,29,9087.666666666666,0,8,2026,Summer,2026-08-04
Hyundai,Verna,7,2017,110000.0,Diesel,Manual,2,520000.0,Metro,2026-07-03 05:56:05.565205,28,15714.285714285714,0,7,2026,Summer,2026-07-03
Hyundai,i20,5,2019,70000.0,Diesel,Manual,2,750000.0,North,2025-10-14 18:30:57.565205,61,14000.0,0,10,2025,Fall,2025-10-14
Maruti Suzuki,Swift Dzire,4,2020,70000.0,Diesel,Manual,2,560000.0,South,2026-07-11 01:11:11.565205,23,17500.0,0,7,2026,Summer,2026-07-11
Hyundai,i20,2,2022,39000.0,Petrol,Manual,1,655000.0,East,2025-10-17 11:41:55.565205,27,19500.0,0,10,2025,Fall,2025-10-17
Hyundai,Santro,14,2010,56000.0,Petrol,Manual,3,125000.0,West,2026-08-03 20:58:57.565205,39,4000.0,0,8,2026,Summer,2026-08-03
Hyundai,i20,3,2021,34000.0,Petrol,Manual,1,550000.0,Central,2026-06-01 12:00:05.565205,35,11333.333333333334,0,6,2026,Summer,2026-06-01
Mahindra,Scorpio,4,2020,50000.0,Diesel,Manual,2,1150000.0,Metro,2026-01-21 12:08:03.565205,58,12500.0,0,1,2026,Winter,2026-01-21
Volkswagen,Vento,9,2015,77400.0,Diesel,Manual,3,500000.0,North,2026-06-14 16:59:58.565205,57,8600.0,0,6,2026,Summer,2026-06-14
Mahindra,Marazzo,2,2022,36000.0,Diesel,Manual,1,990000.0,South,2026-03-13 06:45:20.565205,27,18000.0,0,3,2026,Spring,2026-03-13
Hyundai,Verna,8,2016,47876.0,Diesel,Manual,3,551000.0,East,2026-05-08 09:22:29.565205,29,5984.5,0,5,2026,Spring,2026-05-08
Mahindra,XUV500,3,2021,21500.0,Diesel,Automatic,1,1650000.0,West,2026-05-08 00:45:44.565205,118,7166.666666666667,0,5,2026,Spring,2026-05-08
Hyundai,Grand,6,2018,75000.0,Diesel,Manual,2,350000.0,Central,2025-10-25 20:20:26.565205,21,12500.0,0,10,2025,Fall,2025-10-25
Ford,Aspire,4,2020,58000.0,Petrol,Manual,2,500000.0,Metro,2026-03-20 01:59:10.565205,9,14500.0,0,3,2026,Spring,2026-03-20
Maruti Suzuki,Swift Dzire,3,2021,30000.0,Petrol,Manual,1,575000.0,North,2026-01-24 02:39:50.565205,29,10000.0,0,1,2026,Winter,2026-01-24
Hyundai,Grand,3,2021,50000.0,Diesel,Manual,1,545000.0,South,2025-10-03 15:05:58.565205,26,16666.666666666668,0,10,2025,Fall,2025-10-03
Ford,Figo,4,2020,19093.0,Petrol,Manual,2,525000.0,East,2026-03-30 15:13:53.565205,31,4773.25,0,3,2026,Spring,2026-03-30
Honda,Amaze,7,2017,50000.0,Petrol,Manual,2,400000.0,West,2026-04-19 23:25:50.565205,23,7142.857142857143,0,4,2026,Spring,2026-04-19
Maruti Suzuki,Wagon R,15,2009,37000.0,Petrol,Manual,3,155000.0,Central,2026-04-30 14:59:28.565205,24,2466.6666666666665,0,4,2026,Spring,2026-04-30
Maruti Suzuki,Swift Dzire,5,2019,47000.0,Diesel,Manual,2,545000.0,Metro,2026-08-13 06:16:56.565205,9,9400.0,0,8,2026,Summer,2026-08-13
Honda,City,8,2016,70000.0,Petrol,Manual,3,545000.0,North,2026-01-26 12:30:35.565205,30,8750.0,0,1,2026,Winter,2026-01-26
Renault,KWID,5,2019,25000.0,Petrol,Manual,2,240000.0,South,2026-03-13 10:19:36.565205,16,5000.0,0,3,2026,Spring,2026-03-13
Maruti Suzuki,Vitara,3,2021,26000.0,Diesel,Manual,1,725000.0,East,2026-05-15 19:06:43.565205,150,8666.666666666666,0,5,2026,Spring,2026-05-15
Ford,Aspire,4,2020,30000.0,Petrol,Manual,2,480000.0,West,2025-10-17 13:37:44.565205,20,7500.0,0,10,2025,Fall,2025-10-17
Hyundai,i20,8,2016,15000.0,Petrol,Manual,3,375000.0,Central,2026-02-12 06:28:09.565205,27,1875.0,0,2,2026,Winter,2026-02-12
Maruti Suzuki,Swift,10,2014,160000.0,Diesel,Manual,3,225000.0,Metro,2026-05-26 16:36:20.565205,34,16000.0,0,5,2026,Spring,2026-05-26
Tata,Tiago,4,2020,32100.0,Petrol,Manual,2,400000.0,North,2026-02-19 16:22:03.565205,27,8025.0,0,2,2026,Winter,2026-02-19
Hyundai,i20,5,2019,22000.0,Petrol,Manual,2,550000.0,South,2025-11-29 17:10:55.565205,64,4400.0,0,11,2025,Fall,2025-11-29
Mahindra,Scorpio,5,2019,44000.0,Diesel,Manual,2,1050000.0,East,2026-02-16 07:05:46.565205,19,8800.0,0,2,2026,Winter,2026-02-16
Volkswagen,Polo,5,2019,78000.0,Petrol,Manual,2,450000.0,West,2025-10-08 07:39:57.565205,13,15600.0,0,10,2025,Fall,2025-10-08
Mercedes-Benz,C-Class,9,2015,74352.0,Petrol,Automatic,3,775000.0,Central,2025-11-03 18:12:48.565205,14,8261.333333333334,1,11,2025,Fall,2025-11-03
Maruti Suzuki,Wagon R,7,2017,37000.0,Petrol,Manual,2,350000.0,Metro,2026-01-21 08:32:46.565205,8,5285.714285714285,0,1,2026,Winter,2026-01-21
Honda,City,7,2017,69000.0,Diesel,Manual,2,550000.0,North,2026-07-25 11:05:08.565205,30,9857.142857142857,0,7,2026,Summer,2026-07-25
Kia,Seltos,2,2022,12120.0,Petrol,Manual,1,1080000.0,South,2026-06-10 04:22:24.565205,8,6060.0,0,6,2026,Summer,2026-06-10
Maruti Suzuki,Baleno,5,2019,52000.0,Petrol,Manual,2,575000.0,East,2026-08-31 19:24:46.565205,87,10400.0,0,8,2026,Summer,2026-08-31
Toyota,Innova,5,2019,120000.0,Diesel,Manual,2,950000.0,West,2026-02-26 18:12:10.565205,12,24000.0,0,2,2026,Winter,2026-02-26
Maruti Suzuki,Alto,8,2016,55000.0,Petrol,Manual,3,230000.0,Central,2026-04-25 12:41:38.565205,14,6875.0,0,4,2026,Spring,2026-04-25
Hyundai,i20,10,2014,160000.0,Diesel,Manual,3,270000.0,Metro,2026-05-14 02:28:02.565205,30,16000.0,0,5,2026,Spring,2026-05-14
Ford,Figo,10,2014,40000.0,Petrol,Manual,3,130000.0,North,2026-06-02 04:11:44.565205,8,4000.0,0,6,2026,Summer,2026-06-02
Maruti Suzuki,Swift Dzire,9,2015,46000.0,Petrol,Manual,3,370000.0,South,2026-05-31 12:23:14.565205,9,5111.111111111111,0,5,2026,Spring,2026-05-31
Maruti Suzuki,Baleno,4,2020,25000.0,Petrol,Manual,2,570000.0,East,2025-09-19 19:28:25.565205,43,6250.0,0,9,2025,Fall,2025-09-19
Volkswagen,Polo,8,2016,90000.0,Diesel,Manual,3,365000.0,West,2025-10-28 03:42:51.565205,27,11250.0,0,10,2025,Fall,2025-10-28
Hyundai,i20,9,2015,49566.0,Petrol,Manual,3,280000.0,Central,2026-07-29 04:33:18.565205,28,5507.333333333333,0,7,2026,Summer,2026-07-29
Hyundai,Verna,3,2021,14000.0,Diesel,Automatic,1,1250000.0,Metro,2025-12-09 22:33:58.565205,150,4666.666666666667,0,12,2025,Winter,2025-12-09
Hyundai,i20,5,2019,11000.0,Petrol,Manual,2,590000.0,North,2026-04-25 11:02:00.565205,41,2200.0,0,4,2026,Spring,2026-04-25
Maruti Suzuki,Celerio,3,2021,5000.0,Petrol,Automatic,1,475000.0,South,2025-12-25 00:47:26.565205,18,1666.6666666666667,0,12,2025,Winter,2025-12-25
Ford,Ecosport,4,2020,55000.0,Diesel,Manual,2,685000.0,East,2026-04-29 14:46:30.565205,42,13750.0,0,4,2026,Spring,2026-04-29
Hyundai,Verna,9,2015,65000.0,Diesel,Automatic,3,380000.0,West,2026-04-13 13:33:46.565205,28,7222.222222222223,0,4,2026,Spring,2026-04-13
Renault,KWID,3,2021,22000.0,Petrol,Manual,1,330000.0,Central,2026-05-12 11:20:00.565205,13,7333.333333333333,0,5,2026,Spring,2026-05-12
Maruti Suzuki,Baleno,3,2021,7671.0,Petrol,Manual,1,650000.0,Metro,2026-04-10 23:04:42.565205,114,2557.0,0,4,2026,Spring,2026-04-10
Maruti Suzuki,Wagon R,5,2019,66000.0,Petrol,Manual,2,325000.0,North,2025-10-21 22:25:31.565205,24,13200.0,0,10,2025,Fall,2025-10-21
Maruti Suzuki,Swift Dzire,3,2021,45156.0,Petrol,Automatic,1,640000.0,South,2026-07-23 06:34:51.565205,24,15052.0,0,7,2026,Summer,2026-07-23
Hyundai,Venue,2,2022,25000.0,Petrol,Manual,1,949000.0,East,2026-01-21 16:11:48.565205,106,12500.0,0,1,2026,Winter,2026-01-21
Hyundai,Verna,6,2018,120000.0,Diesel,Manual,2,660000.0,West,2025-09-23 04:49:14.565205,70,20000.0,0,9,2025,Fall,2025-09-23
Maruti Suzuki,Swift,7,2017,28000.0,Petrol,Manual,2,435000.0,Central,2025-10-19 23:44:19.565205,37,4000.0,0,10,2025,Fall,2025-10-19
Hyundai,i20,8,2016,55000.0,Diesel,Manual,3,385000.0,Metro,2026-06-02 14:51:36.565205,20,6875.0,0,6,2026,Summer,2026-06-02
Hyundai,Verna,2,2022,14000.0,Diesel,Automatic,1,1250000.0,North,2026-07-20 02:50:29.565205,72,7000.0,0,7,2026,Summer,2026-07-20
Maruti Suzuki,Wagon R,12,2012,98780.0,Petrol,Manual,3,155000.0,South,2025-09-28 07:46:02.565205,21,8231.666666666666,0,9,2025,Fall,2025-09-28
Maruti Suzuki,Swift,6,2018,58000.0,Diesel,Manual,2,415000.0,East,2026-05-24 02:27:48.565205,32,9666.666666666666,0,5,2026,Spring,2026-05-24
Maruti Suzuki,Alto,10,2014,30000.0,Petrol,Manual,3,251000.0,West,2025-10-25 15:08:01.565205,20,3000.0,0,10,2025,Fall,2025-10-25
Mahindra,Scorpio,5,2019,46400.0,Diesel,Manual,2,1150000.0,Central,2026-07-05 04:55:40.565205,117,9280.0,0,7,2026,Summer,2026-07-05
Hyundai,i10,7,2017,32111.0,Petrol,Manual,2,310000.0,Metro,2026-05-29 19:24:25.565205,25,4587.285714285715,0,5,2026,Spring,2026-05-29
Datsun,GO,6,2018,35000.0,Petrol,Manual,2,350000.0,North,2026-06-28 04:59:58.565205,22,5833.333333333333,0,6,2026,Summer,2026-06-28
Mahindra,Scorpio,4,2020,30000.0,Diesel,Manual,2,1125000.0,South,2025-10-17 23:08:27.565205,27,7500.0,0,10,2025,Fall,2025-10-17
BMW,5,5,2019,63000.0,Diesel,Automatic,2,2600000.0,East,2025-10-17 02:42:57.565205,53,12600.0,1,10,2025,Fall,2025-10-17
Datsun,GO,3,2021,10000.0,Petrol,Manual,1,480000.0,West,2025-10-27 02:42:28.565205,51,3333.3333333333335,0,10,2025,Fall,2025-10-27
Maruti Suzuki,Swift Dzire,4,2020,25000.0,Diesel,Automatic,2,850000.0,Central,2026-06-01 16:51:34.565205,108,6250.0,0,6,2026,Summer,2026-06-01
Hyundai,Creta,4,2020,102000.0,Diesel,Automatic,2,1100000.0,Metro,2026-04-19 07:18:45.565205,121,25500.0,0,4,2026,Spring,2026-04-19
Maruti Suzuki,Swift,3,2021,35000.0,Petrol,Manual,1,575000.0,North,2026-06-15 16:00:56.565205,36,11666.666666666666,0,6,2026,Summer,2026-06-15
Maruti Suzuki,Swift Dzire,9,2015,49948.0,Petrol,Manual,3,340000.0,South,2026-03-16 07:00:08.565205,14,5549.777777777777,0,3,2026,Spring,2026-03-16
Ford,Ecosport,3,2021,55000.0,Diesel,Manual,1,925000.0,East,2026-01-22 00:10:17.565205,22,18333.333333333332,0,1,2026,Winter,2026-01-22
Hyundai,Grand,6,2018,36000.0,Petrol,Manual,2,400000.0,West,2025-10-01 12:57:09.565205,24,6000.0,0,10,2025,Fall,2025-10-01
Honda,City,5,2019,49625.0,Petrol,Manual,2,725000.0,Central,2026-09-10 03:01:45.565205,18,9925.0,0,9,2026,Fall,2026-09-10
Maruti Suzuki,Swift Dzire,7,2017,35000.0,Diesel,Manual,2,600000.0,Metro,2026-06-08 05:20:11.565205,26,5000.0,0,6,2026,Summer,2026-06-08
Mahindra,Scorpio,8,2016,95000.0,Diesel,Manual,3,550000.0,North,2025-11-15 12:55:05.565205,25,11875.0,0,11,2025,Fall,2025-11-15
Ford,Aspire,4,2020,36000.0,Diesel,Manual,2,585000.0,South,2026-04-15 08:15:57.565205,30,9000.0,0,4,2026,Spring,2026-04-15
Maruti Suzuki,Wagon R,2,2022,50000.0,Petrol,Manual,1,411000.0,East,2025-09-17 05:34:13.565205,10,25000.0,0,9,2025,Fall,2025-09-17
Maruti Suzuki,Swift Dzire,6,2018,26500.0,Petrol,Manual,2,450000.0,West,2026-01-19 12:49:07.565205,51,4416.666666666667,0,1,2026,Winter,2026-01-19
Honda,CR-V,6,2018,80000.0,Petrol,Automatic,2,1290000.0,Central,2025-12-01 13:07:17.565205,150,13333.333333333334,0,12,2025,Winter,2025-12-01
Volkswagen,Polo,6,2018,46000.0,Petrol,Manual,2,455000.0,Metro,2026-08-11 17:39:32.565205,36,7666.666666666667,0,8,2026,Summer,2026-08-11
Hyundai,Grand,2,2022,9000.0,Petrol,Manual,1,710000.0,North,2026-04-16 06:11:09.565205,56,4500.0,0,4,2026,Spring,2026-04-16
Honda,City,5,2019,53000.0,Petrol,Manual,2,770000.0,South,2026-03-04 20:07:04.565205,58,10600.0,0,3,2026,Spring,2026-03-04
Ford,Endeavour,3,2021,11387.0,Diesel,Automatic,1,2900000.0,East,2026-04-24 16:00:04.565205,150,3795.6666666666665,0,4,2026,Spring,2026-04-24
Honda,Amaze,3,2021,50000.0,Diesel,Manual,1,720000.0,West,2026-06-18 04:06:44.565205,61,16666.666666666668,0,6,2026,Summer,2026-06-18
Mahindra,KUV,5,2019,52000.0,Diesel,Manual,2,375000.0,Central,2026-07-25 05:10:19.565205,18,10400.0,0,7,2026,Summer,2026-07-25
Datsun,GO,6,2018,35000.0,Petrol,Manual,2,400000.0,Metro,2026-02-10 21:05:11.565205,29,5833.333333333333,0,2,2026,Winter,2026-02-10
Renault,Duster,6,2018,48000.0,Diesel,Manual,2,600000.0,North,2026-03-11 03:18:07.565205,50,8000.0,0,3,2026,Spring,2026-03-11
Honda,Jazz,3,2021,18000.0,Petrol,Manual,1,600000.0,South,2026-03-21 04:49:17.565205,82,6000.0,0,3,2026,Spring,2026-03-21
Maruti Suzuki,Wagon R,9,2015,57413.0,LPG,Manual,3,270000.0,East,2025-10-06 18:29:24.565205,5,6379.222222222223,0,10,2025,Fall,2025-10-06
Hyundai,i20,6,2018,30000.0,Petrol,Manual,2,500000.0,West,2026-01-16 04:33:35.565205,22,5000.0,0,1,2026,Winter,2026-01-16
Hyundai,Verna,6,2018,55000.0,Diesel,Manual,2,650000.0,Central,2025-11-10 23:51:59.565205,73,9166.666666666666,0,11,2025,Fall,2025-11-10
Maruti Suzuki,Swift,3,2021,10000.0,Petrol,Automatic,1,660000.0,Metro,2026-06-24 07:07:09.565205,31,3333.3333333333335,0,6,2026,Summer,2026-06-24
BMW,3,5,2019,68000.0,Diesel,Automatic,2,2090000.0,North,2026-04-23 06:21:43.565205,43,13600.0,1,4,2026,Spring,2026-04-23
Kia,Seltos,1,2023,8000.0,Petrol,Manual,1,1275000.0,South,2026-03-21 04:35:13.565205,18,8000.0,0,3,2026,Spring,2026-03-21
Maruti Suzuki,Swift,6,2018,65000.0,Diesel,Manual,2,495000.0,East,2026-04-24 16:14:30.565205,22,10833.333333333334,0,4,2026,Spring,2026-04-24
Hyundai,Grand,5,2019,25000.0,Petrol,Manual,2,475000.0,West,2026-08-25 19:49:55.565205,6,5000.0,0,8,2026,Summer,2026-08-25
Maruti Suzuki,Ciaz,6,2018,70000.0,Petrol,Manual,2,530000.0,Central,2026-01-25 21:02:46.565205,41,11666.666666666666,0,1,2026,Winter,2026-01-25
Tata,Tiago,5,2019,9500.0,Petrol,Manual,2,530000.0,Metro,2026-08-05 11:40:21.565205,17,1900.0,0,8,2026,Summer,2026-08-05
Hyundai,Verna,6,2018,9100.0,Petrol,Manual,2,650000.0,North,2025-10-31 06:20:08.565205,39,1516.6666666666667,0,10,2025,Fall,2025-10-31
Honda,City,11,2013,86000.0,Petrol,Manual,3,335000.0,South,2026-03-21 00:08:35.565205,29,7818.181818181818,0,3,2026,Spring,2026-03-21
Audi,A4,8,2016,78000.0,Diesel,Automatic,3,1290000.0,East,2026-07-26 06:31:33.565205,44,9750.0,1,7,2026,Summer,2026-07-26
Ford,Figo,10,2014,60000.0,Diesel,Manual,3,300000.0,West,2026-07-17 10:13:24.565205,15,6000.0,0,7,2026,Summer,2026-07-17
Maruti Suzuki,Wagon R,2,2022,7883.0,Petrol,Automatic,1,550000.0,Central,2026-04-10 08:59:52.565205,23,3941.5,0,4,2026,Spring,2026-04-10
Maruti Suzuki,Swift Dzire,8,2016,50205.0,Diesel,Manual,3,390000.0,Metro,2026-02-01 12:18:38.565205,12,6275.625,0,2,2026,Winter,2026-02-01
Mahindra,Bolero,13,2011,220000.0,Diesel,Manual,3,260000.0,North,2025-12-08 04:33:33.565205,37,16923.076923076922,0,12,2025,Winter,2025-12-08
Tata,Tigor,4,2020,58000.0,Diesel,Manual,2,395000.0,South,2025-11-08 06:37:32.565205,49,14500.0,0,11,2025,Fall,2025-11-08
Mahindra,Scorpio,9,2015,170000.0,Diesel,Manual,3,550000.0,East,2026-03-16 03:37:23.565205,42,18888.88888888889,0,3,2026,Spring,2026-03-16
Maruti Suzuki,Swift Dzire,3,2021,15000.0,Petrol,Manual,1,650000.0,West,2026-07-26 13:58:43.565205,88,5000.0,0,7,2026,Summer,2026-07-26
Maruti Suzuki,Swift,5,2019,71245.0,Diesel,Manual,2,375000.0,Central,2026-05-12 05:14:34.565205,14,14249.0,0,5,2026,Spring,2026-05-12
Kia,Seltos,2,2022,7000.0,Petrol,Manual,1,1300000.0,Metro,2026-05-16 19:04:52.565205,24,3500.0,0,5,2026,Spring,2026-05-16
Maruti Suzuki,Alto,3,2021,20000.0,Petrol,Manual,1,360000.0,North,2025-12-18 02:51:13.565205,27,6666.666666666667,0,12,2025,Winter,2025-12-18
Maruti Suzuki,Celerio,1,2023,8700.0,Petrol,Manual,1,505000.0,South,2026-02-14 23:12:31.565205,3,8700.0,0,2,2026,Winter,2026-02-14
Maruti Suzuki,Alto,2,2022,25000.0,Petrol,Manual,1,310000.0,East,2026-06-10 03:02:00.565205,7,12500.0,0,6,2026,Summer,2026-06-10
Hyundai,i20,6,2018,42000.0,Petrol,Manual,2,545000.0,West,2026-05-10 12:56:04.565205,72,7000.0,0,5,2026,Spring,2026-05-10
Mahindra,Bolero,15,2009,120000.0,Diesel,Manual,3,150000.0,Central,2025-11-19 12:10:58.565205,10,8000.0,0,11,2025,Fall,2025-11-19
Maruti Suzuki,Baleno,3,2021,50000.0,Petrol,Manual,1,580000.0,Metro,2026-04-23 09:39:35.565205,79,16666.666666666668,0,4,2026,Spring,2026-04-23
Maruti Suzuki,Wagon R,10,2014,58000.0,Petrol,Manual,3,250000.0,North,2026-08-08 13:29:03.565205,7,5800.0,0,8,2026,Summer,2026-08-08
Hyundai,Verna,4,2020,36000.0,Petrol,Manual,2,650000.0,South,2026-03-07 21:46:37.565205,21,9000.0,0,3,2026,Spring,2026-03-07
Maruti Suzuki,Ertiga,3,2021,30000.0,Diesel,Manual,1,410000.0,East,2025-09-22 08:25:03.565205,28,10000.0,0,9,2025,Fall,2025-09-22
Ford,Ecosport,6,2018,162828.0,Diesel,Manual,2,531000.0,West,2026-01-14 07:18:57.565205,29,27138.0,0,1,2026,Winter,2026-01-14
