brand,model,year,mileage,fuel_type,transmission,owner_count,region,price,listing_date,days_to_sale
Tesla,Model X,2024,3000,Electric,Automatic,1,Metro,98150.0,2025-10-24,43
Honda,CR-V,2024,3000,Petrol,Automatic,1,Metro,33550.0,2026-06-19,65
Honda,Accord,2018,62429,Petrol,Automatic,1,East,12700.0,2025-11-15,9
Honda,Accord,2013,144130,Hybrid,Automatic,3,West,5300.0,2026-05-22,82
Honda,Civic,2022,22820,Hybrid,Automatic,1,North,20300.0,2026-04-24,65
Audi,A4,2024,3000,Petrol,Manual,1,South,41700.0,2025-11-01,27
Chevrolet,Malibu,2023,12397,Petrol,Manual,1,North,21600.0,2025-11-01,50
Nissan,Pathfinder,2012,217020,Petrol,Manual,2,East,4450.0,2026-07-06,140
Chevrolet,Malibu,2024,3000,Petrol,Automatic,2,East,24600.0,2026-06-18,29
Mercedes-Benz,GLE,2015,132089,Petrol,Manual,2,West,7900.0,2026-05-11,40
Ford,Mustang,2014,113388,Petrol,Automatic,2,East,4250.0,2026-07-30,32
BMW,3 Series,2017,109707,Petrol,Automatic,2,West,11750.0,2025-12-03,37
Toyota,RAV4,2024,3000,Hybrid,Automatic,1,East,31250.0,2026-04-24,8
Porsche,Cayenne,2018,132224,Petrol,Automatic,2,West,45700.0,2025-12-22,9
Nissan,Pathfinder,2020,71660,Electric,Automatic,1,North,18400.0,2026-08-23,19
Chevrolet,Tahoe,2024,3000,Electric,Automatic,1,Metro,61750.0,2026-04-30,21
Chevrolet,Malibu,2020,61848,Petrol,Automatic,1,South,11900.0,2026-06-14,23
Volkswagen,Jetta,2021,40018,Petrol,Automatic,1,North,12850.0,2025-12-25,16
Toyota,Camry,2021,43342,Petrol,Automatic,3,Central,17000.0,2025-10-27,19
BMW,3 Series,2022,34561,Hybrid,Automatic,1,North,32300.0,2025-11-10,44
Audi,A6,2023,13965,Petrol,Automatic,1,Central,48550.0,2025-11-08,25
Toyota,RAV4,2020,33856,Hybrid,Automatic,2,East,18500.0,2026-02-03,19
Honda,CR-V,2015,133681,Hybrid,Automatic,3,North,6050.0,2026-01-12,5
Chevrolet,Silverado,2019,96392,Petrol,Automatic,2,West,16050.0,2026-07-08,30
Mercedes-Benz,E-Class,2021,54470,Petrol,Automatic,1,Central,35850.0,2026-09-10,50
BMW,M3,2014,120434,Petrol,Automatic,2,South,9350.0,2026-07-27,25
Chevrolet,Silverado,2021,35929,Petrol,Manual,3,East,22500.0,2025-12-03,40
Honda,Pilot,2021,52393,Petrol,Automatic,1,Metro,26950.0,2026-01-23,15
Mercedes-Benz,C-Class,2017,89423,Petrol,Automatic,2,East,13000.0,2025-11-29,37
Volkswagen,Tiguan,2020,35113,Hybrid,Automatic,1,North,19700.0,2026-08-13,58
Toyota,Highlander,2023,12247,Petrol,Automatic,1,South,33600.0,2026-08-26,34
Hyundai,Tucson,2022,42013,Hybrid,Automatic,1,South,22150.0,2025-10-06,8
Chevrolet,Tahoe,2018,135363,Petrol,Automatic,3,South,21250.0,2025-10-23,29
Volkswagen,Passat,2014,145961,Petrol,Automatic,2,Central,3500.0,2026-04-07,36
Subaru,Forester,2024,3000,Petrol,Automatic,1,Central,27200.0,2026-06-04,14
Honda,Accord,2015,96324,Petrol,Automatic,2,West,6350.0,2026-07-07,35
Honda,CR-V,2015,59299,Hybrid,Automatic,3,East,9750.0,2026-04-02,83
Hyundai,Sonata,2015,74653,Petrol,Manual,3,Metro,5900.0,2026-07-17,27
Tesla,Model 3,2022,29683,Electric,Automatic,1,North,32750.0,2025-11-12,22
Mazda,CX-5,2020,67610,Petrol,Automatic,3,Metro,18150.0,2026-06-24,49
Tesla,Model 3,2016,109046,Electric,Automatic,3,North,12500.0,2025-12-10,75
Honda,Pilot,2019,68550,Petrol,Automatic,2,East,21050.0,2026-03-07,51
Honda,CR-V,2019,76989,Petrol,Automatic,1,Metro,19450.0,2026-07-13,26
Volkswagen,Golf,2018,127790,Petrol,Automatic,3,West,7600.0,2026-03-24,8
Honda,Accord,2023,7699,Petrol,Manual,2,West,24250.0,2025-12-18,15
Hyundai,Elantra,2014,126533,Diesel,Automatic,3,West,2650.0,2026-01-24,26
Tesla,Model X,2024,3000,Electric,Automatic,1,Metro,91000.0,2026-09-15,12
Nissan,Altima,2023,16694,Petrol,Automatic,1,North,22550.0,2025-12-19,14
Tesla,Model 3,2024,3000,Electric,Automatic,2,West,45800.0,2026-03-14,30
Porsche,Panamera,2023,17819,Petrol,Automatic,1,Central,89350.0,2026-07-04,28
Toyota,RAV4,2016,129464,Petrol,Automatic,3,South,8900.0,2026-05-29,22
Honda,Pilot,2012,150537,Petrol,Automatic,3,East,6000.0,2026-03-18,31
Tesla,Model Y,2022,28296,Electric,Automatic,1,Metro,42000.0,2025-10-17,21
Toyota,RAV4,2023,16578,Petrol,Automatic,1,Metro,28000.0,2026-01-25,29
Honda,Accord,2022,21299,Petrol,Manual,2,North,18400.0,2025-10-06,14
Honda,Civic,2016,121395,Petrol,Automatic,1,South,7650.0,2026-06-02,51
Hyundai,Santa Fe,2017,110415,Diesel,Automatic,2,North,7700.0,2026-03-19,33
Mercedes-Benz,GLC,2021,51438,Electric,Automatic,1,West,27900.0,2026-07-08,8
Porsche,Cayenne,2024,3000,Petrol,Automatic,1,West,81850.0,2026-01-06,22
Toyota,Highlander,2013,194422,Hybrid,Automatic,2,Metro,8500.0,2026-06-25,27
Toyota,RAV4,2014,161644,Hybrid,Automatic,2,South,5550.0,2026-01-01,49
Chevrolet,Equinox,2021,76336,Petrol,Automatic,1,East,17800.0,2026-09-15,20
Honda,CR-V,2019,60901,Hybrid,Automatic,1,North,15150.0,2026-03-04,46
Hyundai,Sonata,2018,69796,Hybrid,Automatic,4,East,8200.0,2026-03-21,11
Toyota,Camry,2020,36540,Petrol,Automatic,2,West,16000.0,2025-11-05,10
Hyundai,Tucson,2016,95330,Petrol,Automatic,2,East,9150.0,2026-05-24,38
Audi,Q7,2021,29252,Petrol,Manual,1,West,35900.0,2025-11-07,35
Honda,Accord,2013,150424,Hybrid,Automatic,1,West,3500.0,2026-02-10,14
Ford,Escape,2019,46947,Hybrid,Automatic,2,South,12950.0,2026-04-30,28
Toyota,RAV4,2019,64060,Petrol,Automatic,3,Metro,16700.0,2026-08-04,11
Ford,Mustang,2015,136132,Petrol,Automatic,1,West,5900.0,2026-07-23,25
Mazda,CX-5,2022,27710,Hybrid,Automatic,1,Metro,27650.0,2026-05-04,41
Hyundai,Elantra,2014,141700,Diesel,Automatic,4,East,2650.0,2026-04-06,140
Hyundai,Sonata,2018,110689,Hybrid,Automatic,3,North,9200.0,2026-06-28,59
Audi,Q5,2018,53379,Petrol,Automatic,1,North,18000.0,2026-01-20,89
Audi,Q7,2020,46280,Petrol,Automatic,1,East,31950.0,2026-09-01,71
Mercedes-Benz,C-Class,2016,114353,Hybrid,Manual,1,Metro,9150.0,2026-01-06,49
Honda,Pilot,2021,41808,Petrol,Automatic,1,Metro,29100.0,2026-08-22,38
Mercedes-Benz,GLC,2017,74404,Petrol,Manual,2,North,12150.0,2026-02-08,76
Honda,Civic,2021,42495,Petrol,Manual,2,West,16750.0,2025-12-17,16
Chevrolet,Equinox,2021,72808,Petrol,Manual,1,North,14600.0,2025-11-21,15
Honda,Civic,2021,33801,Diesel,Automatic,2,East,17000.0,2026-08-23,51
Chevrolet,Tahoe,2022,13774,Petrol,Manual,1,South,41800.0,2026-03-05,14
Hyundai,Santa Fe,2016,193672,Hybrid,Automatic,2,South,7350.0,2026-04-06,100
Ford,Mustang,2020,41205,Petrol,Automatic,2,South,18550.0,2026-07-30,5
Mazda,Mazda6,2024,3416,Petrol,Manual,1,West,26100.0,2026-06-28,26
Honda,Civic,2012,118921,Petrol,Manual,2,South,3000.0,2025-12-18,54
Audi,Q7,2016,96536,Petrol,Automatic,2,Metro,15600.0,2026-07-22,60
BMW,5 Series,2015,148918,Petrol,Automatic,2,North,7350.0,2025-11-14,42
Honda,Civic,2014,93325,Petrol,Automatic,1,Central,6050.0,2025-11-09,45
Toyota,Tacoma,2012,100971,Hybrid,Automatic,1,East,8200.0,2026-01-08,36
Ford,Explorer,2015,109827,Petrol,Automatic,1,South,8850.0,2026-04-15,20
Toyota,Highlander,2019,47467,Petrol,Automatic,1,Metro,25900.0,2025-11-03,26
Volkswagen,Jetta,2015,121935,Petrol,Automatic,2,South,3550.0,2025-09-26,25
Mercedes-Benz,GLE,2017,85947,Hybrid,Automatic,3,East,17950.0,2025-10-02,74
Honda,Accord,2024,3000,Hybrid,Automatic,1,East,31350.0,2026-06-06,20
Honda,Pilot,2024,3000,Hybrid,Automatic,1,North,40350.0,2025-10-23,13
Ford,Explorer,2024,3000,Petrol,Automatic,1,Central,36100.0,2026-08-21,19
Ford,Escape,2016,105473,Petrol,Manual,2,North,5600.0,2026-05-01,66
Chevrolet,Tahoe,2015,197431,Petrol,Automatic,1,East,8850.0,2025-10-03,20
Toyota,RAV4,2024,3000,Hybrid,Manual,2,South,29500.0,2025-12-15,31
Hyundai,Tucson,2017,118115,Petrol,Automatic,3,North,6250.0,2026-08-01,24
Audi,A4,2022,18441,Petrol,Automatic,1,East,31900.0,2026-03-01,26
Honda,Accord,2022,23799,Petrol,Automatic,1,East,23200.0,2026-04-29,29
Honda,Accord,2022,39746,Petrol,Automatic,1,East,23300.0,2026-08-27,30
BMW,M3,2012,207674,Petrol,Automatic,2,Metro,9350.0,2026-08-14,140
Audi,A6,2019,102014,Petrol,Automatic,1,West,27000.0,2026-06-11,68
BMW,X5,2014,165291,Petrol,Automatic,1,Central,8050.0,2025-12-04,96
Hyundai,Santa Fe,2015,157754,Petrol,Automatic,4,North,5900.0,2026-03-12,105
Volkswagen,Tiguan,2017,115527,Diesel,Manual,1,Central,6150.0,2026-01-16,24
Nissan,Sentra,2019,84120,Petrol,Automatic,2,West,8350.0,2026-08-02,52
BMW,5 Series,2023,9265,Petrol,Manual,1,West,45250.0,2026-07-22,12
Nissan,Rogue,2022,23105,Petrol,Automatic,1,West,22000.0,2026-02-11,38
Audi,Q5,2017,70089,Electric,Automatic,1,Central,13850.0,2026-07-12,27
Toyota,Corolla,2019,101370,Hybrid,Automatic,2,East,11100.0,2025-09-21,38
BMW,M3,2022,33101,Hybrid,Automatic,1,Metro,54350.0,2026-05-19,23
Ford,Mustang,2022,18598,Diesel,Automatic,1,West,26250.0,2025-10-05,41
Mercedes-Benz,E-Class,2018,78867,Petrol,Automatic,2,South,18150.0,2026-09-12,21
Ford,F-150,2018,79817,Petrol,Automatic,2,Metro,15550.0,2026-03-06,35
Toyota,Tacoma,2022,21413,Petrol,Automatic,2,Metro,26100.0,2026-04-04,42
Subaru,Outback,2022,26858,Petrol,Automatic,1,East,22800.0,2025-10-30,27
Tesla,Model X,2024,3210,Electric,Automatic,1,Central,84500.0,2026-03-11,25
Toyota,Tacoma,2019,69908,Hybrid,Automatic,1,Central,18150.0,2026-01-19,23
Toyota,Camry,2021,47949,Petrol,Automatic,1,Metro,19250.0,2026-06-08,22
Hyundai,Sonata,2024,3000,Hybrid,Automatic,1,North,26400.0,2026-08-26,6
Audi,Q5,2019,38098,Petrol,Automatic,1,North,20250.0,2026-04-03,23
Volkswagen,Golf,2023,14121,Petrol,Automatic,1,East,23100.0,2026-02-14,13
Toyota,Highlander,2017,97749,Petrol,Automatic,3,North,15500.0,2026-09-12,54
Subaru,Impreza,2013,178675,Petrol,Manual,3,East,2750.0,2026-02-23,57
Mercedes-Benz,C-Class,2021,29084,Diesel,Automatic,1,East,29500.0,2025-10-03,29
Honda,Accord,2021,58641,Petrol,Automatic,1,East,21200.0,2026-03-22,18
Subaru,Crosstrek,2021,27774,Petrol,Automatic,1,North,17450.0,2025-10-24,6
BMW,X5,2016,98038,Petrol,Automatic,1,South,13750.0,2025-12-10,28
Ford,Escape,2014,93626,Petrol,Automatic,2,Metro,4150.0,2026-03-30,21
Tesla,Model X,2024,3000,Electric,Automatic,1,North,96100.0,2026-04-15,44
Nissan,Rogue,2014,155894,Petrol,Automatic,1,East,3500.0,2026-04-27,101
Hyundai,Tucson,2021,45903,Hybrid,Automatic,2,North,18600.0,2025-11-29,38
BMW,M3,2018,108008,Hybrid,Automatic,2,Central,27350.0,2026-06-13,35
Ford,F-150,2023,8171,Petrol,Automatic,1,North,33400.0,2026-04-27,47
Tesla,Model S,2020,31227,Electric,Automatic,2,Metro,40600.0,2026-08-15,29
Toyota,RAV4,2017,122728,Petrol,Manual,2,West,12600.0,2025-11-14,20
Honda,CR-V,2018,80526,Petrol,Automatic,2,South,13300.0,2025-11-23,27
Audi,A4,2017,90787,Petrol,Automatic,1,West,12500.0,2026-04-06,57
Chevrolet,Silverado,2016,90594,Petrol,Automatic,4,West,8350.0,2026-08-06,30
Chevrolet,Tahoe,2018,111211,Petrol,Automatic,1,East,26150.0,2025-11-13,46
Ford,Explorer,2023,7192,Hybrid,Automatic,1,South,35000.0,2026-08-21,24
Mercedes-Benz,GLC,2018,64950,Petrol,Automatic,2,West,14600.0,2026-04-11,6
Audi,Q5,2024,3000,Petrol,Manual,1,Metro,48250.0,2025-12-03,3
Volkswagen,Jetta,2019,94009,Petrol,Automatic,1,Central,9650.0,2026-05-29,24
Volkswagen,Golf,2021,48030,Petrol,Manual,2,Central,13300.0,2025-10-18,29
Toyota,Highlander,2019,60872,Hybrid,Manual,1,Metro,22200.0,2026-01-27,18
Honda,Accord,2013,159739,Petrol,Automatic,1,South,3500.0,2026-07-30,61
Mercedes-Benz,C-Class,2020,50268,Petrol,Automatic,2,East,19450.0,2025-11-27,33
Honda,Civic,2023,25546,Petrol,Automatic,1,South,21150.0,2026-04-30,17
Ford,F-150,2017,90880,Petrol,Automatic,1,Central,12000.0,2026-05-03,35
Audi,A6,2024,3000,Diesel,Automatic,2,North,49250.0,2025-10-10,19
Toyota,Tacoma,2022,30575,Diesel,Automatic,1,North,25100.0,2026-03-09,25
Toyota,RAV4,2018,117269,Petrol,Automatic,2,Metro,13150.0,2026-07-07,42
Volkswagen,Jetta,2021,37838,Hybrid,Automatic,2,South,12950.0,2025-10-12,23
BMW,5 Series,2012,151898,Petrol,Automatic,2,North,6950.0,2026-01-20,140
Mercedes-Benz,GLE,2022,23718,Electric,Automatic,1,Central,45850.0,2025-12-20,19
Ford,Explorer,2020,34180,Petrol,Automatic,3,Metro,18950.0,2025-09-21,28
Honda,CR-V,2017,127042,Petrol,Automatic,2,Central,9700.0,2025-12-15,36
Volkswagen,Golf,2016,98209,Hybrid,Automatic,1,Central,5500.0,2026-06-08,39
Kia,Optima,2017,70549,Hybrid,Automatic,1,North,8250.0,2025-11-27,76
Ford,Mustang,2016,186936,Petrol,Automatic,2,West,6250.0,2026-05-13,58
Nissan,Pathfinder,2023,18054,Petrol,Manual,1,Metro,29550.0,2026-09-13,26
Honda,Accord,2021,47687,Petrol,Automatic,2,South,18600.0,2026-01-19,36
Chevrolet,Tahoe,2018,94448,Petrol,Automatic,1,South,21050.0,2026-08-20,33
BMW,X5,2021,35816,Diesel,Manual,1,Central,33150.0,2025-12-15,26
Hyundai,Elantra,2016,89981,Petrol,Automatic,1,South,5100.0,2025-12-29,18
Honda,Civic,2015,112016,Petrol,Automatic,2,East,5950.0,2025-11-16,35
Porsche,911,2019,51701,Petrol,Automatic,1,West,81050.0,2026-03-30,28
Ford,Mustang,2024,3000,Hybrid,Automatic,1,Central,34750.0,2026-02-19,3
Ford,F-150,2012,226771,Hybrid,Automatic,2,East,4550.0,2026-03-26,79
Toyota,Highlander,2024,3000,Hybrid,Automatic,1,South,40300.0,2026-04-16,14
Subaru,Crosstrek,2024,3000,Petrol,Automatic,1,North,25150.0,2026-09-08,28
Ford,Escape,2013,176537,Hybrid,Automatic,1,East,3350.0,2025-12-28,140
Honda,CR-V,2019,79902,Hybrid,Automatic,2,South,14450.0,2025-11-08,13
Porsche,Macan,2022,22530,Petrol,Automatic,1,East,58050.0,2025-10-07,32
Tesla,Model S,2022,30941,Electric,Automatic,1,East,64750.0,2026-06-04,33
Ford,Escape,2023,9348,Diesel,Manual,2,West,22350.0,2026-08-07,24
Ford,Explorer,2019,59909,Petrol,Manual,2,South,15600.0,2026-06-24,19
Toyota,Highlander,2024,3000,Hybrid,Automatic,1,Metro,45650.0,2026-03-22,28
Mercedes-Benz,C-Class,2014,133555,Electric,Automatic,1,West,5650.0,2026-03-29,45
Mercedes-Benz,GLE,2021,65552,Petrol,Automatic,3,North,35850.0,2025-10-09,73
Ford,Mustang,2022,38283,Petrol,Automatic,1,West,28500.0,2025-12-31,16
Nissan,Sentra,2022,14421,Petrol,Automatic,2,West,17150.0,2025-12-10,51
Tesla,Model X,2021,36867,Electric,Automatic,2,North,55800.0,2026-05-17,37
Toyota,Highlander,2021,29916,Petrol,Automatic,2,Central,27900.0,2026-07-20,15
Audi,Q7,2013,91397,Hybrid,Automatic,3,Metro,9150.0,2025-10-20,23
Subaru,Crosstrek,2013,180488,Petrol,Automatic,2,Metro,3100.0,2026-07-17,57
Hyundai,Sonata,2019,98395,Petrol,Manual,1,Central,10000.0,2026-04-10,27
BMW,X3,2020,48277,Petrol,Automatic,1,North,25700.0,2025-09-23,60
BMW,X5,2017,122045,Petrol,Automatic,2,South,17300.0,2026-02-17,55
Chevrolet,Silverado,2017,100329,Diesel,Automatic,2,West,8700.0,2026-07-28,43
Ford,Escape,2022,27328,Petrol,Automatic,1,North,19950.0,2025-11-15,20
Porsche,911,2022,15717,Petrol,Automatic,2,South,96650.0,2026-03-22,16
Ford,Explorer,2013,156597,Petrol,Automatic,4,West,4550.0,2025-12-16,14
BMW,5 Series,2015,61049,Petrol,Automatic,1,West,11200.0,2025-11-17,48
Toyota,Corolla,2024,3000,Hybrid,Automatic,1,Central,24350.0,2026-03-04,13
Tesla,Model X,2012,177932,Electric,Automatic,2,South,14550.0,2026-07-09,140
Mercedes-Benz,GLC,2013,149438,Hybrid,Manual,1,North,6000.0,2026-09-04,34
Audi,A4,2013,207274,Electric,Automatic,2,South,5150.0,2026-06-08,140
Ford,Explorer,2021,52496,Petrol,Automatic,2,East,24500.0,2025-12-01,40
Audi,A4,2021,51755,Petrol,Automatic,2,West,26400.0,2026-07-01,15
Honda,Pilot,2022,39713,Hybrid,Manual,1,West,33250.0,2026-06-06,26
Audi,A4,2016,100620,Petrol,Automatic,1,West,7400.0,2025-11-29,37
Audi,A4,2017,96419,Petrol,Automatic,1,South,11750.0,2026-08-20,16
Volkswagen,Tiguan,2023,7814,Petrol,Automatic,1,North,26500.0,2026-01-14,40
Hyundai,Sonata,2021,36834,Hybrid,Manual,1,Metro,17650.0,2026-08-20,32
Tesla,Model Y,2014,169727,Electric,Automatic,1,East,8100.0,2026-08-19,45
Ford,Mustang,2012,162450,Petrol,Automatic,1,Central,4100.0,2026-05-24,140
BMW,X5,2024,3000,Petrol,Automatic,1,Metro,75300.0,2026-07-09,61
BMW,5 Series,2021,61558,Hybrid,Automatic,1,East,32750.0,2026-04-11,56
Hyundai,Tucson,2022,34041,Petrol,Automatic,1,North,22000.0,2025-12-26,12
Toyota,Corolla,2023,26128,Hybrid,Automatic,1,Metro,19300.0,2026-06-03,16
Chevrolet,Malibu,2024,3000,Petrol,Automatic,1,North,27350.0,2026-07-09,38
Mercedes-Benz,GLC,2024,3000,Hybrid,Automatic,1,Metro,56050.0,2026-05-03,40
Kia,Forte,2013,132309,Hybrid,Manual,4,North,2500.0,2025-10-21,41
Toyota,Corolla,2013,135991,Hybrid,Manual,1,North,3450.0,2026-06-19,25
Honda,Pilot,2023,7503,Diesel,Automatic,2,Central,29900.0,2026-01-10,5
Chevrolet,Silverado,2019,66966,Petrol,Automatic,1,North,17750.0,2026-05-26,29
Toyota,Corolla,2019,79896,Hybrid,Manual,1,East,11850.0,2026-05-25,35
Hyundai,Santa Fe,2019,63869,Petrol,Manual,1,South,13850.0,2025-11-09,33
Chevrolet,Malibu,2020,50100,Petrol,Automatic,1,West,16850.0,2025-10-13,33
Mercedes-Benz,E-Class,2023,12682,Diesel,Manual,1,North,44550.0,2025-11-08,47
Tesla,Model 3,2023,13379,Electric,Automatic,1,South,36200.0,2026-03-07,18
Honda,Pilot,2019,68820,Petrol,Automatic,3,North,17700.0,2026-01-02,17
Toyota,Highlander,2022,26103,Hybrid,Manual,1,East,30150.0,2026-08-11,40
Hyundai,Tucson,2021,53252,Petrol,Automatic,1,North,18750.0,2026-04-23,26
Volkswagen,Passat,2016,114052,Petrol,Automatic,3,East,4950.0,2025-10-09,12
Porsche,Panamera,2024,3000,Petrol,Automatic,1,East,98450.0,2026-08-12,11
Ford,Escape,2024,3000,Petrol,Manual,2,Metro,25700.0,2026-04-03,17
Tesla,Model 3,2022,33363,Electric,Automatic,1,North,30150.0,2026-08-01,12
Subaru,Crosstrek,2018,63349,Petrol,Automatic,1,East,11700.0,2025-11-13,13
Ford,Explorer,2022,30736,Petrol,Automatic,1,East,28450.0,2026-03-11,33
BMW,5 Series,2015,98787,Petrol,Automatic,2,South,6950.0,2026-02-14,35
Audi,A6,2020,48308,Petrol,Automatic,2,Metro,33650.0,2026-05-02,61
Ford,F-150,2013,183312,Petrol,Automatic,1,West,4550.0,2026-05-25,100
Hyundai,Santa Fe,2016,130817,Hybrid,Automatic,2,South,7350.0,2026-03-17,43
Toyota,Highlander,2020,41457,Hybrid,Automatic,1,Metro,28150.0,2025-12-26,20
Toyota,Camry,2018,111634,Hybrid,Automatic,1,West,11350.0,2025-11-10,44
Toyota,Corolla,2022,23213,Petrol,Automatic,1,Metro,18400.0,2026-03-24,19
Mercedes-Benz,GLC,2024,3000,Petrol,Automatic,1,East,52150.0,2026-07-24,49
Mazda,CX-5,2018,132926,Petrol,Automatic,1,North,9900.0,2026-02-04,20
Tesla,Model S,2016,92912,Electric,Automatic,1,Metro,24700.0,2026-05-13,57
Toyota,Corolla,2013,129060,Hybrid,Automatic,1,Metro,5150.0,2026-07-13,76
Porsche,Panamera,2020,49063,Hybrid,Automatic,2,West,72700.0,2026-04-04,61
Tesla,Model 3,2023,9686,Electric,Automatic,1,Central,38350.0,2026-03-15,58
Kia,Sportage,2013,204468,Petrol,Automatic,3,Central,3350.0,2025-10-02,140
Toyota,Corolla,2018,67825,Petrol,Automatic,4,South,8300.0,2026-08-02,18
Audi,A6,2023,14953,Diesel,Automatic,1,South,49800.0,2026-07-23,7
Ford,Explorer,2020,46272,Petrol,Automatic,1,North,21150.0,2026-05-24,41
Toyota,Highlander,2013,128361,Petrol,Automatic,2,West,9800.0,2025-09-16,71
Mercedes-Benz,GLC,2016,92837,Petrol,Automatic,2,East,8450.0,2026-09-10,64
Hyundai,Elantra,2018,62373,Petrol,Automatic,1,West,8350.0,2026-08-05,35
BMW,X5,2021,28333,Electric,Automatic,1,East,42000.0,2026-05-22,42
Porsche,Macan,2024,3000,Petrol,Automatic,1,West,66900.0,2025-12-03,26
Toyota,Tacoma,2023,14280,Hybrid,Automatic,1,Metro,31800.0,2026-02-18,32
Hyundai,Sonata,2016,102815,Petrol,Automatic,3,North,5600.0,2026-08-28,6
Toyota,Corolla,2012,150018,Hybrid,Automatic,2,North,2650.0,2025-10-27,49
Mercedes-Benz,E-Class,2020,72936,Petrol,Automatic,2,North,23300.0,2025-12-03,40
Kia,Sportage,2016,104526,Petrol,Automatic,2,North,6900.0,2026-04-15,49
Toyota,Highlander,2024,3000,Petrol,Automatic,2,West,41350.0,2026-07-01,19
Ford,Explorer,2015,128259,Petrol,Automatic,4,South,8000.0,2026-03-07,31
Subaru,Crosstrek,2019,58971,Petrol,Manual,1,South,12150.0,2025-09-24,7
Ford,Explorer,2018,99515,Petrol,Automatic,3,East,14300.0,2026-08-07,17
Ford,Escape,2020,63614,Petrol,Automatic,1,East,13850.0,2026-07-05,13
Toyota,RAV4,2021,27350,Hybrid,Automatic,1,West,23400.0,2026-02-15,14
Audi,Q7,2022,29346,Petrol,Automatic,1,West,47750.0,2026-06-06,27
Kia,Forte,2022,21661,Petrol,Automatic,1,East,16950.0,2025-10-29,19
Ford,F-150,2013,197543,Petrol,Automatic,2,Metro,4550.0,2026-06-29,23
Subaru,Forester,2018,67600,Petrol,Automatic,4,West,12950.0,2026-02-11,28
Toyota,RAV4,2018,62374,Petrol,Automatic,3,South,15900.0,2026-05-08,73
Toyota,RAV4,2017,165661,Petrol,Automatic,3,West,9300.0,2026-04-20,21
Volkswagen,Tiguan,2020,54279,Petrol,Automatic,2,South,16000.0,2026-02-01,15
Mazda,Mazda3,2018,115310,Petrol,Manual,1,Metro,10100.0,2026-05-05,22
BMW,X5,2012,202133,Petrol,Automatic,2,Central,8050.0,2026-03-15,140
Audi,A4,2020,52706,Petrol,Automatic,2,North,21400.0,2026-08-05,62
Toyota,Tacoma,2022,46607,Petrol,Automatic,1,East,25800.0,2026-03-28,17
BMW,M3,2024,3000,Petrol,Automatic,1,West,83450.0,2026-01-12,29
